"UNIPROT","GO","GONAME","ONTOLOGY"
"A0A087WPF7","GO:0001764","neuron migration","BP"
"A0A087WPF7","GO:0003682","chromatin binding","MF"
"A0A087WPF7","GO:0005634","nucleus","CC"
"A0A087WPF7","GO:0005737","cytoplasm","CC"
"A0A087WPF7","GO:0005856","cytoskeleton","CC"
"A0A087WPF7","GO:0010592","positive regulation of lamellipodium assembly","BP"
"A0A087WPF7","GO:0030036","actin cytoskeleton organization","BP"
"A0A087WPF7","GO:0030426","growth cone","CC"
"A0A087WPF7","GO:0035022","positive regulation of Rac protein signal transduction","BP"
"A0A087WPF7","GO:0045944","positive regulation of transcription by RNA polymerase II","BP"
"A0A087WPF7","GO:0048675","axon extension","BP"
"A0A087WPF7","GO:0051571","positive regulation of histone H3-K4 methylation","BP"
"A0A087WPF7","GO:0060013","righting reflex","BP"
"A0A087WPF7","GO:0097484","dendrite extension","BP"
"A0A087WPF7","GO:0098582","innate vocalization behavior","BP"
"A0A087WPF7","GO:2000620","positive regulation of histone H4-K16 acetylation","BP"
"A0A088MLT8","GO:0005516","calmodulin binding","MF"
"A0A088MLT8","GO:0005737","cytoplasm","CC"
"A0A088MLT8","GO:0005886","plasma membrane","CC"
"A0A088MLT8","GO:0008366","axon ensheathment","BP"
"A0A088MLT8","GO:0030054","cell junction","CC"
"A0A088MLT8","GO:0030506","ankyrin binding","MF"
"A0A088MLT8","GO:0033268","node of Ranvier","CC"
"A0A088MLT8","GO:0035332","positive regulation of hippo signaling","BP"
"A0A088MLT8","GO:0043194","axon initial segment","CC"
"A0A088MLT8","GO:0044325","transmembrane transporter binding","MF"
"A0A088MLT8","GO:0051494","negative regulation of cytoskeleton organization","BP"
"A0A0B4J1F4","GO:0005737","cytoplasm","CC"
"A0A0B4J1F4","GO:0005768","endosome","CC"
"A0A0B4J1F4","GO:0005769","early endosome","CC"
"A0A0B4J1F4","GO:0005886","plasma membrane","CC"
"A0A0B4J1F4","GO:0015031","protein transport","BP"
"A0A0B4J1F4","GO:0016567","protein ubiquitination","BP"
"A0A0B4J1F4","GO:0032728","positive regulation of interferon-beta production","BP"
"A0A0B4J1F4","GO:0043231","intracellular membrane-bounded organelle","CC"
"A0A0B4J1F4","GO:0070534","protein K63-linked ubiquitination","BP"
"A0A0B4J1F4","GO:0140112","extracellular vesicle biogenesis","BP"
"A0A0B4J1F4","GO:1903561","extracellular vesicle","CC"
"A0A0B4J1F4","GO:1990756","ubiquitin ligase-substrate adaptor activity","MF"
"A0A0B4J1G0","GO:0002468","dendritic cell antigen processing and presentation","BP"
"A0A0B4J1G0","GO:0004888","transmembrane signaling receptor activity","MF"
"A0A0B4J1G0","GO:0005615","extracellular space","CC"
"A0A0B4J1G0","GO:0005886","plasma membrane","CC"
"A0A0B4J1G0","GO:0007166","cell surface receptor signaling pathway","BP"
"A0A0B4J1G0","GO:0009897","external side of plasma membrane","CC"
"A0A0B4J1G0","GO:0009986","cell surface","CC"
